Frequency,Measure,Balance sheet position,Type of instruments,Currency denomination,Currency type of reporting country,Parent country,Type of reporting institutions,Reporting country,Counterparty sector,Counterparty country,Position type,Period,31/12/1977,31/03/1978,30/06/1978,30/09/1978,31/12/1978,31/03/1979,30/06/1979,30/09/1979,31/12/1979,31/03/1980,30/06/1980,30/09/1980,31/12/1980,31/03/1981,30/06/1981,30/09/1981,31/12/1981,31/03/1982,30/06/1982,30/09/1982,31/12/1982,31/03/1983,30/06/1983,30/09/1983,31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,"M:Debt securities, short-term",TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:L:M:TO1:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39249.6,41454.002,46939.563,45258.722,43360.384,39607.088,38645.384,37911.789,45898.113,46007.801,46331.031,48529.414,57235.844,56678.745,61741.424,57491.723,90160.773,99735.265,106399.564,101141.344,99246.177,99552.873,88391.894,89686.061,85960.443,75897.61,82822.399,76671.563
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,4Y:Developing Asia and Pacific,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:U:4Y:N,3592,3525,3797,3842,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7102,7378,7828,7892,8608,8853,8855,8910,9144,8982,8712,8410,8388,8678,9532,10082,11524,10236,11406,11984,12897,12486,11532,12901,15486,16378,19252,19402,21485,21815,21844,23366,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,21,-,-,-,555,561,593,411,416,414,484,488,44,38,51,53,48,50,43,59,19,18,16,57,54,187,50,32,33,11,189,188,191,158,149,139,139,136,155,165,163,170,202,206,218,226,258,311,351,338,334,355,371,365,369,2060,373,387,414,421,1896,642,742,420.369,353.021,3630.72,4211.449,4030.714,3700.484,5079.013,4907.859,7240.455,6468.378,11893.311,7963.169,9451.139,11173.033,6659.523,10000.242,9768.645,5951.949,8381.151,8911.029,9097.229,8634.478,8977.815,14054.134,13838.759,13605.287,16995.982,17564.13,15751.887,17403.621,19057.253,17786.022,16964.302,17418.114
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,U:Unallocated by instrument,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:L:U:TO1:A:5J:A:5A:U:5J:N,78024,78828,81578,91747,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,60003,63473,65095,66538,66015,72699,72383,78759,83393,87459,93472,110447,125894,148369,161336,199525,229569,244406,247637,267902,269666,268876,267329,293192,310322,290538,320716,372544,409336,383760,376139,400994,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-688.003,-691.003,-683.002,-696.005,-692.048,1404.281,979.624,933.743,1106.257,264.59,633.864,-6413.055,-6883.621,-7453.703,-6972.501,-7141.809,-7807.575,-6863.493,-6605.427,-8452.11,256.233,361.797,363.805,439.373,463.217,370.987,468.116,694.967,582.742,813.165,765.645,1143.395,564.195,240.608
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,4U:Developing Latin America and Caribbean,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:F:4U:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27947.258,41850.622,42355.535,42088.739,51046.226,53172.321,58112.858,61238.337,61370.849,50684.948,48734.494,53945.182,51721.609,63320.816,64249.644,71318.683,72735.121,81377.083,81791.34,81980.488,83790.57,88054.884,88745.147,85293.144,82159.703,84625.333,84917.503,83941.219
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",3C:Developing Europe,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:I:3C:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34901.083,38217.737,38337.337,35369.766,32714.587,28258.145,29566.597,37967.8,39774.053,29555.376,32221.115,38415.684,43255.576,46353.211,36732.005,36952.51,34963.879,37818.462,44216.448,46622.753,47434.958,46611.725,47929.23,52206.521,49698.295,47327.516,47883.559,50304.452,52788.709,50354.695,48936.616,51945.929,51246.903,49954.229
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5M:Unallocated location,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:B:5M:N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,239,682,996,620,639,-59,82,324,611,160,670,1075,1108,831,144,138,179,262,94,176,568,714,1117,799,594,356,544,0,3820,7893,11522,14959,11364,8463,5001,1488,2263,3290,3932,4960,4264,4694,4708,5153,4886,4041,3240,2465,2954,3780,4596,5598,8239,11203,13911,16803,14743,12815,10847,3709,2109,1247,217,-99,3701,8268,7466,7623,5682,5084,7331,6625,7122,10121,10807,11122,3654,3631,3233,3702,3806,3863,4340,4648,3172,3939,3035,6104,5221,5576,5550,5528,5493,1082,2316,941,726,961,1515,1146,910,484,400,512,438,655,381,381,501,306,292,698,300,1033.027,2298.987,2839.037,2707.692,771.044,1163.992,584.028,58899.511,48091.492,48576.933,47653.021,50420.624,56704.442,76729.496,80286.152,83020.111,76262.316,84958.864,75502.692,69304.024,78256.818,81804.844,78566.616,80538.33,91037.079,82438.69,99421.679,104138.186,97719.782,98049.84,95035.341,136285.176,118374.061,146981.851
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5C:Euro area,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:F:5C:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545491.782,795255.365,824007.034,778369.75,802376.757,809166.083,823799.249,826914.028,812621.216,878311.972,884952.237,859320.145,806158.035,841739.64,896535.642,904474.759,878495.816,969870.015,934737.44,970852.895,946746.801,1010901.516,1091239.283,1033591.684,1029583.44,1135839.389,1150501.471,1257155.356
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,JPY:Yen,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),N:Cross-border,Q:S:L:A:JPY:A:5J:A:5A:B:5J:N,3552,6992,6220,8225,9022,8605,6981,7329,6788,7812,14124,15211,15293,15452,15463,17655,19078,19751,19208,17848,19909,29187,29280,29669,33055,37909,40980,40496,45767,49040,57788,68923,101736,126753,141611,176740,194502,255361,268480,326518,413919,415737,412950,493661,495671,480567,451491,507073,520767,468919,474130,546986,541960,515215,487984,487606,635815,571632,526334,584973,506471,548051,497352,624199,570924,611382,591563,671392,713085,835205,838627,816127,800672,738956,691453,670397,674712,651804,680542,690697,689221,627278,584318,605228,739838,586283,531248,601146,658032,639736,634614,602013,630135,561036,529919,484405,442935,402240,457841,437340,457529,402446,417556,414511,441399,473902,469433,458395,492969,494230,521695,507711,496848,488245,521922,492475,456235,505481,567522,637246,763762,915842,842972,818568,877476,676418.5,757186,755215.5,640841,634275,711979,730034,761096,685328.072,663498,763680,708051,652972.741,656591.503,663706.488,611189.121,580361.289,482046.353,516488.195,477541.547,481893.859,519186.747,523458.041,505898.192,461797.595,464507.557,441501.34,460063.69,528446.222,562291.502,539973.27,505121.928,471435.439,455607.954,486979.633,489767.953,512825.328,524803.732,537783.237,526010.167,566409.673,606915.449,580074.085,571932.631,668210.839,689755.51,686967.372
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,UN9:Unallocated currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),N:Cross-border,Q:S:C:A:UN9:A:5J:A:5A:B:5J:N,116572,113615,113856,123700,133690,136526,147968,163515,163406,164312,167801,177679,181736,187423,190650,207589,213423,209536,208166,203974,214255,184469,173919,169304,16826,18008,19818,19435,20203,22426,23923,28313,27809,33090,37428,41935,43860,52240,52647,54018,59631,63857,63791,65533,67561,72308,76261,84700,91970,101842,108793,127603,139298,123097,131838,138611,134995,134315,138117,139441,135192,126775,127215,120354,127678,126463,126897,133893,136678,156570,160341,174190,180647,177688,180258,192928,189073,207348,207190,233715,255575,278723,274163,317127,151698,191976,206338,212749,198345,202797,206130,194949,209576,212163,192972,215116,225507,238504,252938,250038,254405,236550,275666,243140,292865,339388,332749,345612,398195,433474,447268,490660,476047,548228,591443,624728,637334,735947,793145,898954,911785,1018162,996417,927158,738402,689788,742526,798004,815212,847464,800997,878669,944012,1050432.247,1114400,1058140,943761,1029394.884,1012610.664,1041679.76,1043761.388,1059321.625,1008718.464,1069326.776,1090876.468,1224546.312,1243944.36,1219491.647,1032715.493,1013498.629,1013272.01,948015.933,956691.588,995733.981,989935.811,980220.72,934080.716,979963.91,1002792.768,1023498.6,1044049.653,1074401.084,1055572.04,998291.628,1002654.087,1087498.079,1120740.917,1099730.824,1083502.013,1122876.992,1123853.56,1189679.325
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:U:5J:N,78024,78828,81578,91747,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,60003,63473,65095,66538,66015,72699,72383,78759,83393,87459,93472,110447,125894,148369,161336,199525,229569,244406,247637,267902,269666,268876,267329,293192,310322,290538,320716,372544,409336,383760,376139,400994,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,64021,68282,74189,81146,87913,93148,97580,105864,164862,178706,187100,205492,219391,181270,182494,195843,192145,189447,201663,203629,220395,218252,214861,208012,217129,230256,281527,309255,348265,382920,404601,423306,344091,370118,388508,389055,415463,436212,513318,516736,510584,547374,576341,581244,617751,669203,700208,1267482,1332682,1408818,1475511,1387266,1405356,1379144,1454030,1474159,1424180,1424222,1634539,1578494,1520346,1580430,1619822,1848480,1762087,1785944,2342825.112,2342661.102,2341595.418,2259793.871,2214222.709,2253179.151,2439081.677,3419015.083,3486165.745,3369685.503,3305942.551,3162176.038,3112231.434,3079550.991,2931825.771,3055731.317,3041855.913,3045069.458,2861563.633,3019790.1,3148163.106,3223100.417,3311768.313,3427638.129,3299332.642,3294125.233,3373842.786,3484538.176,3612874.309,3663636.719,3673359.023,3597934.22,3695367.609,3804786.203
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,4W:Developing Africa and Middle East,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:P:4W:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110791.764,170208.614,170202.214,166308.509,180094.033,171061.157,175740.202,174059.329,231217.141,235025.784,237862.937,245737.073,238767.546,250608.612,270455.378,274586.797,281803.462,289314.865,281116.542,280519.175,280590.44,285694.2,298017.337,312096.319,311835.272,309355.019,300385.709,301392.859
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,F:Foreign currency (ie currencies foreign to bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",5J:All countries (total),R:Local,Q:S:C:A:TO1:F:5J:A:5A:N:5J:R,63810,64840,68159,69414,74779,77777,82284,84360,87286,93147,105087,107679,113035,113370,117972,123676,132927,133769,135702,138662,144572,146662,148442,152437,173120,185542,182291,186223,191209,200380,199083,212325,220335,243120,260409,290558,306354,346667,378439,391168,437476,451241,436449,452972,486970,514428,520270,542901,575264,614644,635542,661769,671287,652908,652261,656327,680578,634937,639748,670502,613695,606915,590192,592850,571212,577020,568606,572752,569797,609861,608914,578580,590933,600309,604881,601632,628721,632692,611673,597703,605063,596873,607769,628834,549641,540082,553585,568438,550147,620361,645526,626244,708286,718763,706775,724843,757678,752338,801548,790131,844297,879039,899325,938337,1043383,1090745,1088826,1085064,1147262,1247190,1226818,1241663,1283892,1423737,1488780,1483489,1598683,1728705,1818460,1932010,2076697,2347715,2251880,2198229,2081725,1930585,1950743,1916453,1923731,1928212,1870865,2016085,2012780,2064152,2108563,2086406,1955901,2118696,2070910.922,2111509.344,2084210.79,2163222.212,2157924.394,2148638.71,2172968.372,2100550.177,2144372.276,2097168.966,2293497.892,2305878.316,2313278.688,2303195.652,2433457.409,2491004.22,2548226.237,2506422.618,2484823.731,2552547.001,2593619.892,2612902.412,2631183.067,2582327.203,2689172.802,2662331.209,2605663.407,2565819.624,2620164.745,2617423.834,2610285.29,2852506.436,2752804.846,2753214.521
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",1C:International organisations,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:N:1C:N,1299,1337,1271,1564,1973,1947,2213,2203,2660,2129,2480,2571,2755,2555,2566,2360,2756,2900,3170,3409,4003,5164,5058,5663,5771,6173,6369,5780,7208,6786,7842,7735,11132,11359,11680,12195,16481,18771,17544,20366,20317,18531,17948,20244,17250,17818,17769,17895,20290,20122,20519,22714,22284,20420,23608,21082,23092,22219,22011,22725,22561,20924,19936,19999,19056,18762,19584,21079,21799,23593,23173,22132,21037,22829,20891,19070,20770,19265,20673,17083,17986,19285,20457,25164,22154,29690,28480,27533,27991,28376,28629,26786,26980,25312,25198,26435,27331,28126,30288,28211,28340,29952,32184,33588,32636,26475,23860,27226,29084,28521,28806,32351,28792,28936,31093,29565,32628,31600,33407,37707,38360,51444,42646,38725,32170,45358,42878,43224,43566,47160,41516,43953,41530,45085,54622,52450,53619,55976,47631.915,49858.757,99215.675,100342.425,104945.635,119316.989,188092.835,262872.486,250734.111,243851.151,237716.567,229229.439,234294.778,241738.709,233765.54,248582.22,240204.43,236913.176,211785.221,203344.986,203996.41,199169.522,190362.017,198719.794,187911.222,195273.399,185316.047,206243.892,215838.654,218091.992,209331.225,225797.398,238531.071,260685.131
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),U:Unallocated,Q:S:L:A:TO1:A:5J:A:5A:U:5J:U,163,399,224,193,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,21,7,15,26,19,26,13,7,-,1,-,-,5,13,3,-,9,8,21,10,5,-,-,2,6,21,25,18,27,803,40,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,289449,299685,302180,312101,329126,326905,342174,298109,321513,360708,346980,361260,341277,338393,347198,329973,352757,337462,355311,341277,378516,385022,388591,359561,394104,408595,450478,410382,441392,587291,632301,670395,682968,737640,748719,796455,893634,939065,950597,1039197,1017519,1249232,1153015,1072390,1106975,1193676,1311931,828255,826911,932184,975068,934922,1096687,860922,1106598,1051202,1051460,885489,826864,941752,897736,1061599,1108710,1091925,1055423,978716,1817748.314,1855185.14,1799495.629,1787327.219,1797191.899,2140933.151,2891563.411,2890298.838,2894628.262,2702199.076,2838192.939,2673320.541,2709451.689,2656717.666,2482897.156,2574524.152,2555937.39,2553678.265,2502435.693,2327081.986,2404798.672,2496280.292,2545399.699,2612017.579,2481640.943,2503513.542,2352671.438,2387566.57,2677612.434,2681281.947,2679015.109,2635260.666,2654667.611,2695471.558
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5R:Developed countries,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:U:5R:N,38694,38629,40484,45823,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29917,33367,34158,35536,34092,38090,38474,42933,44394,47597,52472,66105,80626,104077,117625,151757,180211,196397,197203,216039,216494,217969,216869,236363,250276,229724,259535,309525,339898,314187,307351,332307,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,545,617,624,552,466,465,1323,49447,50132,47422,45369,55154,61597,65444,67060,70298,68910,75047,77459,78532,83231,87257,67900,68484,74541,115504,114696,127520,133632,140883,146168,50933,73431,74529,82995,86962,87490,161809,160908,156545,165140,171612,177183,179737,211020,216830,749839,823137,876857,926005,863278,916796,892186,932490,950319,904090,898543,1106183,1023008,956769,1015398,1048947,1274659,1196317,1209224,1271391.292,1324091.019,1343437.307,1291725.883,1251196.48,1273607.348,1453232.947,1537934.66,1578858.625,1530122.544,1534849.766,1447134.717,1394255.081,1378419.287,1316197.31,1415705.103,1408127.693,1412524.43,1303698.218,1404824.319,1481681.602,1506082.282,1586767.82,1589273.48,1543664.951,1541746.54,1644553.492,1744802.234,1837395.042,1858061.611,1855163.395,1812536.447,1908703.18,1981316.484
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:C:A:GBP:A:5J:A:5A:U:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,-350,4,5314,6581,164,6732,5954,5956,5181,6103,4911,25,-315,-442,39,39,16,4709,4730,6666,7172,8527,8929,24,38,17,33,1290,1267,924,414,321,391,532,592,918,943,1181,1407,1309,1929,1400,1609,1511,608,1383,1069,1100,655,1328,1381,526,1022,2212,264,278,1650.791,20468.229,20671.541,19099.588,16561.625,17451.516,18131.706,16451.596,25969.134,29117.277,34313.413,28710.685,27750.044,27897.961,25594.108,21406.776,22982.606,22469.807,23221.809,21404.611,22831.738,22372.4,26822.73,29033.717,24896.732,26247.181,28179.489,26905.5,32594.449,33400.654,36501.612,33426.624,36495.215,41249.967,49287.894
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,Q:S:C:G:TO1:A:5J:A:5A:I:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504132.187,6475230.413,6579452.517,6368338.377,7112182.357,6747518.837,6789577.348,6644510.921,6613419.425,6582099.846,6800304.593,6817379.652,6770319.565,7052062.643,7240164.435,7361862.147,7692335.037,7729197.547,7855360.371,7691876.293,7848110.955,7864503.431,7945118.01,7812213.164,8071660.032,8555261.427,8201399.183,8345414.671
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,4W:Developing Africa and Middle East,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:P:4W:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114935.128,172241.315,175471.075,174233.484,196431.343,194038.333,199769.922,203323.353,250082.379,256294.441,269259.618,270434.944,275616.254,285800.309,297869.443,308105.868,336358.15,350977.273,347361.793,357751.627,363609.554,372859.236,373749.103,398699.179,414339.032,406550.416,405171.187,419857.331
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",3C:Developing Europe,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:B:3C:N,34637,37912,39127,42724,45051,44393,46822,49932,52517,50880,55528,55994,59003,58304,56861,58178,59558,54612,52368,50440,52121,50056,49155,47749,51200,50368,47822,46940,47259,46713,50779,56181,59234,61045,65606,69192,70003,72003,72074,73687,80739,81977,79259,76969,81392,80986,80765,84531,89860,89360,85158,72732,87868,78354,72834,77527,87716,83175,89900,96980,90236,88688,89665,90757,84681,82884,82699,76520,67902,74244,75577,74272,74713,74301,73764,74722,78982,75212,74034,78822,76892,77321,80680,78778,78701,76604,74985,75053,73729,69825,69020,62541,69090,63127,60267,58209,56026,57587,56445,54341,59166,66451,70451,75249,87928,89760,93814,96422,113805,120029,120620,132523,151407,171979,180918,189025,214730,241586,267875,313814,349756,399078,423619,421011,380626,346854.5,367501,345034,338232,326267,321784,359611,373401,410079,420469,383796,362315,365776,343834.941,345719.774,350730.588,357466.017,359974.113,364104.059,362794.303,357138.155,358975.393,336881.934,321723.745,298178.483,307194.289,300795.717,294783.713,301893.978,295372.144,291047.173,276715.218,301219.19,313335.771,328637.362,326293.171,333663.798,320602.181,306554.028,286636.015,276599.14,272218.919,257646.589,263445.999,245534.279,235765.397,245754.904
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:L:A:GBP:A:5J:A:5A:U:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,171,165,206,245,193,254,438,438,437,656,602,563,606,643,644,881,942,1013,1857,1701,1041,1182,1448,1335,1534,1663,1880,2198,3232,2536,2288,2376,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4806,6348,6355,6744,8768,10204,11248,12316,16319,15349,15407,16948,17867,17667,17518,19136,17404,17980,20208,21497,34033,34987,37185,40846,43647,48912,50855,54907,50545,49325,50010,50956,54098,57605,55293,58054,56621,60259,65017,66344,70062,76732,82900,121252,124840,139437,147506,125433,96752,91788,103248,96336,100341,94777,112939,111207,107542,112033,116045,122282,122516,112751,122472.917,126434.745,128379.094,113553.129,113705.942,120124.303,119393.218,210321.166,210117.573,205639.714,196569.59,187403.914,196821.996,193426.017,185188.535,187095.196,175226.383,174863.512,170094.952,183289.129,193225.878,198137.651,202137.384,215822.537,195731.898,195788.198,199638.503,234733.186,228770.757,231132.688,236884.965,213542.63,229060.75,235882.175
